Transaction,Type,Sender public key,Sender address,Recipient public key,Recipient address,Value,Token,Date&Time,Price $,SOON,%
208d18a3a1c8779a3b863cc964222a7c7265797a89cf0136e106214fc785c184,receive,0,0:5f03e2a3742df6c6a9d281f00d33686b0ba311da2bb9fe984facb9f15314573a,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"814,054674",USDT,1639688621000,"0,9","904,5052","28,66"
5e57aebbbd9d30b0fc030d2ed52b78090ac4d4ea6d63668bbd3536767933d163,receive,0,0:5f03e2a3742df6c6a9d281f00d33686b0ba311da2bb9fe984facb9f15314573a,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"344,568426",USDT,1639687263000,,"382,8538","12,13"
95769f6388ad6ec21643e0556ef25245564d8559684c1d5abf77839ac4c91dfa,receive,0,0:851ecf5515414c2896fff6073be3c980fd0a07f4000ebc0762aa9c46e942f81c,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,68,USDT,1639686605000,,"75,5556","2,39"
627012b5748c2a55eb0e8dd985072eaf83372e16a6cdd1728e59370af2ac4f58,receive,0,0:eb8c64d335a1422b5d768fe772f8748201192a1abe609116b54556bc775b4116,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,101,USDT,1639683952000,,"112,2222","3,56"
3fd6c04c627e69b5a70356c31378ad7edc5d4e06e448ac2803f386cbdc4d3f0d,receive,0,0:ed8451e179aecfc3922c82090b15bbf6c68e340a8c730ee8a797bc3369b826aa,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,100,USDT,1639681401000,,"111,1111","3,52"
23ad5291b8c9dac4941fcf3068c54044418caae88f930619b5678f811e4b84cf,receive,0,0:04e3ec327612a06e8ebf25af67e54eb37005c4a53601eceb1f9e61d41f231a11,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"1,33",USDT,1639681377000,,"1,4778","0,05"
27bde89435314053669f4315233420635159d5fb448f6de4c2648feeec7964f9,receive,0,0:3b0d7b25728cad4d5659e48085ea8481885b97c0d2752495a1b2c39125b438e1,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,99,USDT,1639671936000,,110,"3,49"
5b1e3efe0e037bf5c22208a7a8ef030c2b307bada819ead36fb1f0baff7a6708,receive,0,0:e8b75768f4061d9a468f4a8194dfb1bbe00c455acc3e86ab50f7442d2b801a52,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"3,69",USDT,1639651854000,,"4,1","0,13"
be5f0870929606e5406a1d0d45c6d50317ccdde16a340c70ba77bd4d1354b329,receive,0,0:c21ad1703a6b53715447b3f7df75faceaf7eba9439aefd6edc788555c9e08141,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,45,USDT,1639650490000,,50,"1,58"
06815157bc3df577aa347b583ca281fe6f458dea4f40c95d98dd5f26449a97e6,receive,0,0:a31255a0ac238b37198abf7ac1c5b96a888718dd43458e6ef8dedce9ddac15f4,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,48,USDT,1639650295000,,"53,3333","1,69"
2a81a31b657b6f239a0b4372c9309a1104a631a44861c62e1a36368015dc4bf8,receive,0,0:115cf44f0fcb2b5ae8b954ed4687c084f70870451a04acdd2234137ad7cc3039,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,100,USDT,1639648819000,,"111,1111","3,52"
6abbebfdcb6497ac786d219103b350a54a58a474e2d45872b1bbafc29c5b1cfc,receive,0,0:b86978a414dd5d48f276cb23d2bfdb0c95675980c9d7ff482e8c7d880d955fed,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,1000,USDT,1639648455000,,"1111,1111","35,21"
ea74096ce18a969b7674f99ee23d9cc9961331f73c68c057ffc17e01bdc96054,receive,0,0:1e90580e12abb66a7237cc8b5a9861fdd6b4694552da460427cb26d3704028b3,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"5,3",USDT,1639645215000,,"5,8889","0,19"
8211653c2bf948fef5ce13ba9cf0b2c3985adc93ff95e1fca605065c2c45852a,receive,0,0:fcde4d99327db207f2abc2d0e9b4a34439f7e72844f03aedebb70d8527ed3471,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"9,285976",USDT,1639641260000,,"10,3178","0,33"
59d00a8a640094d86260d76c7b751829e9ce7e2dfde66e720c6f27ee103ac84a,receive,0,0:60eb844659f24bcd9cf4a16c0d131eec9fc0520ec28ef9052aa7471b8dd64ece,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,101,USDT,1639625415000,,"112,2222","3,56"
,,,,,Итого:,"2840,229076",USDT,,,"3155,8101","100,00"
