Transaction,Type,Sender public key,Sender address,Recipient public key,Recipient address,Value,Token,Date&Time,Price $,SOON,%
bf5a449c2ca4e6d4c36fa3cbc8b583dd4a48ae1a069913624cfe8f6ea7bc1d7c,receive,0,0:fa94171cb0565789224814561cc558e59315971ee9d03085de3dcb5f8b94d95e,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,150,USDT,1639608535000,"0,8","187,5","13,64"
3aeced61f59c4632361123b47650f0eb78ddd4bcba19340d2d682803c1d98714,receive,0,0:3aa97bae1f5295ab0520b7d5dc16eb72179278c1dffeb86354d48c2f18c78ba1,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"11,545159",USDT,1639606583000,,"14,4314","1,05"
fedff04503c2c346dc64ea18562dddebcfa3b7a470e34a692d2a99c43d8e7935,receive,0,0:32bfee7a4addcac8ef3b20c2ffb59e651f806832f362ad70a6b0e572b72e9243,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"8,03815",USDT,1639602442000,,"10,0477","0,73"
a8ff6991be4e7a525840b9f7aaeea47f2d14b8569fe9a7429df9e325e765ada5,receive,0,0:ebbeea11717c7e05715232295739fc68258e480b7f27602fc78ccbc57ca6362e,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"53,588322",USDT,1639601930000,,"66,9854","4,87"
0de0f6a1936aed59d07f74135bf689bd4b4e157a446f5c55778d7e18d55d3261,receive,0,0:34dbd1e2037c9bce7db687e6c0a1420ccfe118779d5638d52b04ead2eeabb20c,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"156,522453",USDT,1639600608000,,"195,6531","14,23"
e359586457543c966b0ce1b94cbdaf327fc4336f8a95d3e4bac2fc799da3462a,receive,0,0:12c6153adddd1e8634a546b1e1639e6c7592f229cc1583fe210b9dd426774c6a,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,89,USDT,1639600050000,,"111,25","8,09"
62b15e3de3ce76ccae34cee26b27552170a8e27611f7d84283ea0596d79752c6,receive,0,0:12c6153adddd1e8634a546b1e1639e6c7592f229cc1583fe210b9dd426774c6a,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,1,USDT,1639599953000,,"1,25","0,09"
252663d8b742cc2addacf8ee3d8a9e470a723b47f7875a9cfc44625daadce760,receive,0,0:9e703036922bc3eea1b1e0d6686740e23e4990d7a4ccbcdcc3d4cd716d114a3a,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,50,USDT,1639590739000,,"62,5","4,55"
71549bf706197e647020eefb386437324be3f3cbd969f6de83c6c04492656378,receive,0,0:c83c0d9501fcfdd41f4399d96b8e0d5a8e03f9ca01d336c41aa772a28cb5e7d0,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,20,USDT,1639588934000,,25,"1,82"
653ca64328545c4d152712eec7b44596f50fba5cd9dc6e5a913137299b037d66,receive,0,0:34c169f99c6a8a1d2d290e5e50ed074f1faeb339a6fc4a3cdd647659335d9820,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,"53,108586",USDT,1639585733000,,"66,3857","4,83"
