Transaction,Type,Sender public key,Sender address,Recipient public key,Recipient address,Value,Token,Date&Time,Price $,SOON,%
ea149aa0017710494530853cc4f36282d0ebfdaf00f35fa24a48df24f97612f3,receive,0,0:b22f668e523d666cb2fcd7a6f02256f1312b88f6dc319457309eb9066bd96c84,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,8,USDT,1639776776000,1,8,"5,06"
67c4fcb692185ecd1d0a38527bea67c76de1db38e7f96990cb6a9fcd2c97eac3,receive,0,0:cbd090198d22e4b1a77227ba2bff58a05a32049ef2908aebfb461cacd6a474c8,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,100,USDT,1639746268000,,100,"63,29"
de8a7a2a0f350f3109c0ab2351d13d3df6cec71ed9505f9e7db54f7108c90f14,receive,0,0:104d829b63f74d7c51205b95e522c5f342b157480c78364c1fc6acaf1ed013ba,0,0:5c906a04946cec99de9bae1ca0bf041e441f44684c75c31bcb5974b480805fa2,50,USDT,1639732281000,,50,"31,65"
,,,,,Итого:,158,USDT,,,158,"100,00"
